Approved symbol,Approved name,Accession numbers,RefSeq IDs
TMEM132A,transmembrane protein 132A,AK000546,NM_017870
TMEM132B,transmembrane protein 132B,AB067493,NM_052907
TMEM132C,transmembrane protein 132C,AK126715,NM_001136103
TMEM132D,transmembrane protein 132D,AB061814,NM_133448
TMEM132E,transmembrane protein 132E,BN000149,NM_207313
TMEM133,"symbol withdrawn, see [HGNC:26545](/data/gene-symbol-report/#!/hgnc_id/HGNC:26545)"
TMEM134,transmembrane protein 134,AK025402,NM_025124
TMEM135,transmembrane protein 135,BX648678,NM_022918
TMEM137,transmembrane protein 137
TMEM138,transmembrane protein 138,AF151030,NM_016464
TMEM139,transmembrane protein 139,AK075067,NM_153345
TMEM140,transmembrane protein 140,AK001862,NM_018295
TMEM141,transmembrane protein 141,BC007834,NM_032928
TMEM143,transmembrane protein 143,AK129801,NM_018273
TMEM144,transmembrane protein 144,AK002017,NM_018342
TMEM145,transmembrane protein 145,AK075286,NM_173633
TMEM147,transmembrane protein 147,BC001118,NM_032635
TMEM150A,transmembrane protein 150A,AK098152,NM_153342
TMEM150B,transmembrane protein 150B,BC020862,NM_001085488
TMEM150C,transmembrane protein 150C,BC147027,NM_001080506
TMEM151A,transmembrane protein 151A,BC033898,NM_153266
TMEM151B,transmembrane protein 151B,AK126839,NM_001039704
TMEM154,transmembrane protein 154,AK056590,NM_152680
TMEM155,transmembrane protein 155
TMEM156,transmembrane protein 156,AK026888,NM_024943
TMEM158,transmembrane protein 158,AF438313,NM_015444
TMEM160,transmembrane protein 160,AK000519,NM_017854
TMEM161A,transmembrane protein 161A,BC005210,NM_017814
TMEM161B,transmembrane protein 161B,BC037287,NM_153354
TMEM163,transmembrane protein 163,,NM_030923
TMEM164,transmembrane protein 164,AK094127,NM_032227
TMEM165,transmembrane protein 165,AF183409,NM_018475
TMEM167A,transmembrane protein 167A,"BC107575, AK055070",NM_174909
TMEM167B,transmembrane protein 167B,,NM_020141
TMEM168,transmembrane protein 168,,NM_022484
TMEM169,transmembrane protein 169,AK091582,NM_138390
TMEM170A,transmembrane protein 170A,BX648484,NM_145254
TMEM170B,transmembrane protein 170B,,NM_001100829
TMEM171,transmembrane protein 171,BC018083,NM_173490
TMEM174,transmembrane protein 174,BC019346,NM_153217
TMEM175,transmembrane protein 175,BC005158,NM_032326
TMEM176A,transmembrane protein 176A,AF258340,NM_018487
TMEM176B,transmembrane protein 176B,AF115384,NM_014020
TMEM177,transmembrane protein 177,BC004404,NM_030577
TMEM178A,transmembrane protein 178A,BC029530,NM_152390
TMEM178B,transmembrane protein 178B
TMEM179,transmembrane protein 179,AK124477,NM_207379
TMEM179B,transmembrane protein 179B,BC051355,NM_199337
TMEM181,transmembrane protein 181,AB037844,NM_020823
TMEM182,transmembrane protein 182,AK054856,NM_144632
TMEM183A,transmembrane protein 183A,BC013073,NM_138391
TMEM184A,transmembrane protein 184A,,NM_152689
TMEM184B,transmembrane protein 184B,AL096879,NM_012264
TMEM184C,transmembrane protein 184C,AF305823,NM_018241
TMEM185A,transmembrane protein 185A,AF353675,NM_032508
TMEM185B,transmembrane protein 185B,AK024632,NM_024121.2
TMEM186,transmembrane protein 186,BC015912,NM_015421
TMEM187,transmembrane protein 187,X92475,NM_003492
TMEM190,transmembrane protein 190,AF442729,NM_139172
TMEM191B,transmembrane protein 191B,,NM_001242313
TMEM191C,transmembrane protein 191C,,NM_001207052
TMEM192,transmembrane protein 192,BC036301,NM_152681
TMEM196,transmembrane protein 196,,NM_152774
TMEM198,transmembrane protein 198,BC068567,NM_001005209
TMEM199,transmembrane protein 199,AY074907,NM_152464
TMEM200A,transmembrane protein 200A,AB067500,NM_052913
TMEM200B,transmembrane protein 200B,,NM_001003682
TMEM200C,transmembrane protein 200C,,NM_001080209
TMEM201,transmembrane protein 201,,NM_001010866
TMEM202,transmembrane protein 202,,NM_001080462
TMEM203,transmembrane protein 203,BC009283,NM_053045
TMEM204,transmembrane protein 204,,NM_024600
TMEM205,transmembrane protein 205,AK127147,NM_198536
TMEM207,transmembrane protein 207,BC071780,NM_207316
TMEM208,transmembrane protein 208,,NM_014187
TMEM209,transmembrane protein 209,,NM_032842
TMEM210,transmembrane protein 210,,NM_001282477
TMEM212,transmembrane protein 212
TMEM213,transmembrane protein 213,,NM_001085429
TMEM214,transmembrane protein 214,,NM_017727
TMEM215,transmembrane protein 215,,NM_212558
TMEM216,transmembrane protein 216,,NM_016499
TMEM217,transmembrane protein 217,,NM_145316
TMEM217B,transmembrane protein 217B
TMEM218,transmembrane protein 218,,NM_001080546
TMEM219,transmembrane protein 219,,NM_001083613
TMEM220,transmembrane protein 220,,NM_001004313
TMEM221,transmembrane protein 221
TMEM222,transmembrane protein 222,AL136683,NM_032125
TMEM223,transmembrane protein 223
TMEM225,transmembrane protein 225,AY634366,NM_001013743
TMEM225B,transmembrane protein 225B
TMEM229A,transmembrane protein 229A,BC157828,NM_001136002
TMEM229B,transmembrane protein 229B,AK090706,NM_182526
TMEM230,transmembrane protein 230,AF161392
TMEM231,transmembrane protein 231,,NM_001077416
TMEM232,transmembrane protein 232,AK125070,NM_001039763
TMEM233,transmembrane protein 233,,NM_001136534
TMEM234,transmembrane protein 234,AY358586,NM_019118
TMEM235,transmembrane protein 235,BC042066,NM_001204211
TMEM236,transmembrane protein 236
TMEM237,transmembrane protein 237,AB053301,NM_152388
TMEM238,transmembrane protein 238,,NM_001190764
TMEM238L,transmembrane protein 238 like,BC015790,NM_001388428
TMEM239,transmembrane protein 239
TMEM240,transmembrane protein 240,,NM_001114748
TMEM241,transmembrane protein 241,BC082984,NM_032933
TMEM242,transmembrane protein 242,AF217510
TMEM243,transmembrane protein 243,,NM_024315
TMEM244,transmembrane protein 244,,NM_001010876
TMEM245,transmembrane protein 245,AF153415,NM_032012
TMEM247,transmembrane protein 247,,NM_001145051
TMEM248,transmembrane protein 248,,NM_017994
TMEM249,transmembrane protein 249,,NM_001252402
TMEM250,transmembrane protein 250,,NM_152833
TMEM252,transmembrane protein 252,BC029780,NM_153237
TMEM253,transmembrane protein 253,,NM_001146683
TMEM254,transmembrane protein 254,BC022252,NM_025125
TMEM255A,transmembrane protein 255A,BC047054,NM_017938
TMEM255B,transmembrane protein 255B,BC018995,NM_182614
TMEM256,transmembrane protein 256,BC030270,NM_152766
TMEM257,"symbol withdrawn, see [HGNC:13449](/data/gene-symbol-report/#!/hgnc_id/HGNC:13449)"
TMEM258,transmembrane protein 258,,NM_014206
TMEM259,transmembrane protein 259,BC008957,NM_033420
TMEM260,transmembrane protein 260,AK000399,NM_017799
TMEM262,transmembrane protein 262,,NM_001282448
TMEM263,transmembrane protein 263,,NM_152261
TMEM265,transmembrane protein 265
TMEM266,transmembrane protein 266,AK095509,NM_152335
TMEM267,transmembrane protein 267,AK025310,NM_022483
TMEM268,transmembrane protein 268,BX649023,NM_153045
TMEM269,transmembrane protein 269,,NM_001242750
TMEM270,transmembrane protein 270,BC030643,NM_182504
TMEM271,transmembrane protein 271,,NM_001362796
TMEM272,transmembrane protein 272,AK094626,NM_001351005
TMEM273,transmembrane protein 273,BC031641,NM_001010863
TMEM275,transmembrane protein 275,,NM_001357063
TMEM276,transmembrane protein 276,,NM_001129888
TMF1,TATA element modulatory factor 1,,NM_007114
TMIE,transmembrane inner ear,AY081842,NM_147196
TMIGD1,transmembrane and immunoglobulin domain containing 1,AY358153,NM_206832
TMIGD2,transmembrane and immunoglobulin domain containing 2,BC015655,NM_144615
TMIGD3,transmembrane and immunoglobulin domain containing 3,,NM_001081976
TMLHE,"trimethyllysine hydroxylase, epsilon","AF373407, X97513",NM_018196
TMOD1,tropomodulin 1,,NM_003275
TMOD2,tropomodulin 2,AF177169
TMOD3,tropomodulin 3,AF177171
TMOD4,tropomodulin 4,AF177173
TMPO,thymopoietin,,NM_003276
TMPPE,transmembrane protein with metallophosphoesterase domain,AK126979,NM_001039770
TMPRSS2,transmembrane serine protease 2,U75329
TMPRSS3,transmembrane serine protease 3,AF201380
TMPRSS4,transmembrane serine protease 4,AF179224,NM_019894
TMPRSS5,transmembrane serine protease 5,AB028140,NM_030770
TMPRSS6,transmembrane serine protease 6,AY055383,NM_153609
TMPRSS7,transmembrane serine protease 7,BN000125,NM_001042575
TMPRSS9,transmembrane serine protease 9,AJ488946,NM_182973
TMPRSS11A,transmembrane serine protease 11A,AF071882,NM_182606
TMPRSS11B,transmembrane serine protease 11B,BX537945,NM_182502
TMPRSS11D,transmembrane serine protease 11D,AB002134,NM_004262
TMPRSS11E,transmembrane serine protease 11E,AF064819,NM_014058
TMPRSS11E2,"symbol withdrawn, see [HGNC:24465](/data/gene-symbol-report/#!/hgnc_id/HGNC:24465)"
TMPRSS11F,transmembrane serine protease 11F,AK122625,NM_207407
TMPRSS12,transmembrane serine protease 12,BC048112,NM_182559
TMPRSS13,transmembrane serine protease 13,AB048796,NM_032046
TMPRSS15,transmembrane serine protease 15,,NM_002772
TMSB4X,thymosin beta 4 X-linked,,NM_021109
TMSB4Y,thymosin beta 4 Y-linked,AF000989,NM_004202
TMSB10,thymosin beta 10,,NM_021103
TMSB15A,thymosin beta 15A,D82345,NM_021992
TMSB15B,thymosin beta 15B,,NM_194324
TMSB15C,thymosin beta 15C
TMT1A,thiol methyltransferase 1A,,NM_014033
TMT1B,thiol methyltransferase 1B,,NM_152637
TMTC1,transmembrane O-mannosyltransferase targeting cadherins 1,,NM_031920
TMTC2,transmembrane O-mannosyltransferase targeting cadherins 2,AK074634,NM_152588
TMTC3,transmembrane O-mannosyltransferase targeting cadherins 3,,NM_181783
TMTC4,transmembrane O-mannosyltransferase targeting cadherins 4,,NM_032813
TMUB1,transmembrane and ubiquitin like domain containing 1,BC000936,NM_031434
TMUB2,transmembrane and ubiquitin like domain containing 2,,NM_177441
TMX1,thioredoxin related transmembrane protein 1,AB048246,NM_030755
TMX2,thioredoxin related transmembrane protein 2,AF132965,NM_015959
TMX3,thioredoxin related transmembrane protein 3,BX647846,NM_019022
TMX4,thioredoxin related transmembrane protein 4,,NM_021156
TNC,tenascin C,,NM_002160
TNF,tumor necrosis factor,X02910
TNFAIP1,TNF alpha induced protein 1,,NM_021137
TNFAIP2,TNF alpha induced protein 2,,NM_006291
TNFAIP3,TNF alpha induced protein 3,M59465
TNFAIP6,TNF alpha induced protein 6,,NM_007115
TNFAIP8,TNF alpha induced protein 8,AF070671,NM_014350
TNFAIP8L1,TNF alpha induced protein 8 like 1,BC017672,NM_152362
TNFAIP8L2,TNF alpha induced protein 8 like 2,BC063014,NM_024575
TNFAIP8L3,TNF alpha induced protein 8 like 3,AK123281,NM_207381
TNFRSF1A,TNF receptor superfamily member 1A,M75866,NM_001065
TNFRSF1B,TNF receptor superfamily member 1B,M32315,NM_001066
TNFRSF4,TNF receptor superfamily member 4,X75962
TNFRSF6B,TNF receptor superfamily member 6b,AF104419
TNFRSF8,TNF receptor superfamily member 8,M83554
TNFRSF9,TNF receptor superfamily member 9,L12964
TNFRSF10A,TNF receptor superfamily member 10a,U90875,NM_003844
TNFRSF10B,TNF receptor superfamily member 10b,AF012628,NM_147187
TNFRSF10C,TNF receptor superfamily member 10c,AF012536
TNFRSF10D,TNF receptor superfamily member 10d,AF029761
TNFRSF11A,TNF receptor superfamily member 11a,AF018253
TNFRSF11B,TNF receptor superfamily member 11b,U94332
TNFRSF12A,TNF receptor superfamily member 12A,AB035480
TNFRSF13B,TNF receptor superfamily member 13B,AF023614
TNFRSF13C,TNF receptor superfamily member 13C,AF373846
TNFRSF14,TNF receptor superfamily member 14,U70321
TNFRSF17,TNF receptor superfamily member 17,Z29574
TNFRSF18,TNF receptor superfamily member 18,AF125304,NM_004195
TNFRSF19,TNF receptor superfamily member 19,AB040434,NM_018647
TNFRSF21,TNF receptor superfamily member 21,AF068868,NM_014452
TNFRSF25,TNF receptor superfamily member 25,U72763,NM_148965
TNFSF4,TNF superfamily member 4,D90224
TNFSF8,TNF superfamily member 8,L09753
TNFSF9,TNF superfamily member 9,U03398,NM_003811
TNFSF10,TNF superfamily member 10,U37518
TNFSF11,TNF superfamily member 11,AF013171
TNFSF12,TNF superfamily member 12,AF030099,NM_003809
TNFSF13,TNF superfamily member 13,AF046888,NM_003808
TNFSF13B,TNF superfamily member 13b,AF136293,NM_006573
TNFSF14,TNF superfamily member 14,AF036581
TNFSF15,TNF superfamily member 15,AF039390,NM_005118
TNFSF18,TNF superfamily member 18,AF117713,NM_005092
TNIK,TRAF2 and NCK interacting kinase,AF172264,NM_015028
TNIP1,TNFAIP3 interacting protein 1,AJ011895,NM_006058
TNIP2,TNFAIP3 interacting protein 2,BC002740,NM_024309
TNIP3,TNFAIP3 interacting protein 3,AJ320534,NM_024873
TNK1,tyrosine kinase non receptor 1,U43408,NM_003985
TNK2,tyrosine kinase non receptor 2,L13738,NM_005781
TNKS,tankyrase,AF082556,NM_003747
TNKS1BP1,tankyrase 1 binding protein 1,AB051528,NM_033396
TNKS2,tankyrase 2,AF342982,NM_025235
TNMD,tenomodulin,AF191770,NM_022144
TNN,tenascin N,AK127044,NM_022093
TNNC1,"troponin C1, slow skeletal and cardiac type"
TNNC2,"troponin C2, fast skeletal type",,NM_003279
TNNI1,"troponin I1, slow skeletal type",BC012600,NM_003281
TNNI2,"troponin I2, fast skeletal type",L21715,NM_003282
TNNI3,"troponin I3, cardiac type",M64247
TNNI3K,TNNI3 interacting kinase,AF116826,NM_015978
TNNT1,"troponin T1, slow skeletal type",,NM_003283
TNNT2,"troponin T2, cardiac type",X74819,NM_000364
TNNT3,"troponin T3, fast skeletal type",M21984,NM_006757
TNP1,transition protein 1,,NM_003284
TNP2,transition protein 2,,NM_005425
TNPO1,transportin 1,U70322,NM_002270
TNPO2,transportin 2,AF019039,NM_013433
TNPO3,transportin 3,AF145029,NM_012470
TNR,tenascin R,X98085,NM_003285
TNRC6A,trinucleotide repeat containing adaptor 6A,U80739,NM_020847
TNRC6B,trinucleotide repeat containing adaptor 6B,AB029016
TNRC6C,trinucleotide repeat containing adaptor 6C,AL834429,NM_018996
TNRC18,trinucleotide repeat containing 18,U80753
TNS1,tensin 1,AB209238,NM_022648
TNS2,tensin 2,AF518729,NM_170754
TNS3,tensin 3,AF378756,NM_022748
TNS4,tensin 4,AF417488,NM_032865
TNXB,tenascin XB,X71923,NM_019105
TOB1,"transducer of ERBB2, 1",D38305
TOB2,"transducer of ERBB2, 2",D64109,NM_016272
TOE1,"target of EGR1, exonuclease",,NM_025077
TOGARAM1,TOG array regulator of axonemal microtubules 1,AB007883,NM_001308120
TOGARAM2,TOG array regulator of axonemal microtubules 2,"AK125239, AK125744",NM_199280
TOLLIP,toll interacting protein,AJ242972,NM_019009
TOM1,target of myb1 membrane trafficking protein,AJ006973,NM_005488
TOM1L1,target of myb1 like 1 membrane trafficking protein,AJ010071,NM_005486
TOM1L2,target of myb1 like 2 membrane trafficking protein,AJ230803
TOMM5,translocase of outer mitochondrial membrane 5,BC029423
TOMM6,translocase of outer mitochondrial membrane 6,AF216754
TOMM7,translocase of outer mitochondrial membrane 7,AF150733,NM_019059
TOMM20,translocase of outer mitochondrial membrane 20,,NM_014765
TOMM20L,translocase of outer mitochondrial membrane 20 like,,NM_207377
TOMM22,translocase of outer mitochondrial membrane 22,AB040119
TOMM34,translocase of outer mitochondrial membrane 34,U58970,NM_006809
TOMM40,translocase of outer mitochondrial membrane 40,AF043250
TOMM40L,translocase of outer mitochondrial membrane 40 like,,NM_032174
TOMM70,translocase of outer mitochondrial membrane 70,AB018262
TOMT,transmembrane O-methyltransferase,,NM_001393500
TONSL,"tonsoku like, DNA repair protein",,NM_013432
TOP1,DNA topoisomerase I
TOP1MT,DNA topoisomerase I mitochondrial,AF349018,NM_052963
TOP2A,DNA topoisomerase II alpha
TOP2B,DNA topoisomerase II beta,X68060
TOP3A,DNA topoisomerase III alpha,U43431
TOP3B,DNA topoisomerase III beta,AF017146,NM_003935
TOP6BL,TOP6B like initiator of meiotic double strand breaks,,NM_024650
TOPAZ1,testis and ovary specific TOPAZ 1,AK093476,NM_001145030
TOPBP1,DNA topoisomerase II binding protein 1,AB019397,NM_007027
TOPORS,"TOP1 binding arginine/serine rich protein, E3 ubiquitin ligase",AF098300,NM_005802
TOR1A,torsin family 1 member A,AF007871,NM_000113
TOR1AIP1,torsin 1A interacting protein 1,,NM_015602
TOR1AIP2,torsin 1A interacting protein 2,,NM_145034
TOR1B,torsin family 1 member B,AF007872,NM_014506
TOR2A,torsin family 2 member A,AA873275,NM_130459
TOR3A,torsin family 3 member A,BC001085,NM_022371
TOR4A,torsin family 4 member A,AK023361,NM_017723
TOX,thymocyte selection associated high mobility group box,,NM_014729
TOX2,TOX high mobility group box family member 2,BC007636
TOX3,TOX high mobility group box family member 3,U80736,NM_001080430
TOX4,TOX high mobility group box family member 4,AB018280,NM_014828
TP53,tumor protein p53,AF307851,NM_000546
TP53AIP1,tumor protein p53 regulated apoptosis inducing protein 1,AB045831,NM_022112
TP53BP1,tumor protein p53 binding protein 1,U09477
TP53BP2,tumor protein p53 binding protein 2,U09582,"NM_001031685, NM_005426"
TP53I3,tumor protein p53 inducible protein 3,AF010309,NM_004881
TP53I11,tumor protein p53 inducible protein 11,AF010315,NM_006034
TP53I13,tumor protein p53 inducible protein 13,AK075341,NM_138349
TP53INP1,tumor protein p53 inducible nuclear protein 1,AF409115
TP53INP2,tumor protein p53 inducible nuclear protein 2,AL109824,NM_021202
TP53RK,TP53 regulating kinase,,NM_033550
TP53TG3,TP53 target 3,AB023509,NM_016212
TP53TG3B,TP53 target 3B,BC096733,NM_001099687
TP53TG3C,TP53 target 3C,,NM_001205259
TP53TG3D,TP53 target 3D,,NM_001243722
TP53TG3E,TP53 target 3 family member E
TP53TG3F,TP53 target 3 family member F
TP53TG5,TP53 target 5,AB017802,NM_014477
TP63,tumor protein p63,AB010153,NM_003722
TP73,tumor protein p73,AB055065,NM_005427
TP73L,"symbol withdrawn, see [HGNC:15979](/data/gene-symbol-report/#!/hgnc_id/HGNC:15979)"
TPBG,trophoblast glycoprotein,AJ012159
TPBGL,trophoblast glycoprotein like,BC007804,NM_001195528
TPCN1,two pore segment channel 1,AB032995,NM_017901
TPCN2,two pore segment channel 2,AK023366,NM_139075
TPD52,tumor protein D52,U18914,NM_005079
TPD52L1,TPD52 like 1,U44427
TPD52L2,TPD52 like 2,AF004430
TPD52L3,TPD52 like 3,AY032877,NM_033516
TPGS1,tubulin polyglutamylase complex subunit 1,BC009520,NM_033513
TPGS2,tubulin polyglutamylase complex subunit 2,BC015178,NM_015476
TPH1,tryptophan hydroxylase 1,X52836,NM_004179
TPH2,tryptophan hydroxylase 2,AY098914,NM_173353
TPI1,triosephosphate isomerase 1,,NM_000365
TPK1,thiamin pyrophosphokinase 1,AB028138,NM_022445
TPM1,tropomyosin 1,AB209041,NM_001018004
TPM2,tropomyosin 2,,NM_003289
TPM3,tropomyosin 3,BC008425,NM_152263
TPM4,tropomyosin 4,,NM_003290
TPMT,thiopurine S-methyltransferase
TPO,thyroid peroxidase,,NM_000547
TPP1,tripeptidyl peptidase 1,AF017456
TPP2,tripeptidyl peptidase 2,M55169
TPPP,tubulin polymerization promoting protein,AB017016,NM_007030
TPPP2,tubulin polymerization promoting protein family member 2,AY072034,NM_173846
TPPP3,tubulin polymerization promoting protein family member 3,BC000691,NM_015964
TPR,"translocated promoter region, nuclear basket protein",U69668,NM_003292
TPRA1,transmembrane protein adipocyte associated 1,AK056759,NM_016372
TPRG1,tumor protein p63 regulated 1,AK125682,NM_198485
TPRG1L,tumor protein p63 regulated 1 like,BC019034,NM_182752
TPRKB,TP53RK binding protein,AY157986,NM_016058
TPRN,taperin,AK074735,NM_173691
TPRX1,tetrapeptide repeat homeobox 1,,NM_198479
TPRX2,tetrapeptide repeat homeobox 2,,NM_001397347
TPSAB1,tryptase alpha/beta 1,M33494,NM_003294
TPSB2,tryptase beta 2,AF099143,NM_024164
TPSD1,tryptase delta 1,AF206664
TPSG1,tryptase gamma 1,AF175759
TPST1,tyrosylprotein sulfotransferase 1,AF038009,NM_003596
TPST2,tyrosylprotein sulfotransferase 2,AF049891,NM_003595
TPT1,"tumor protein, translationally-controlled 1",X16064,NM_001286272
TPTE,transmembrane phosphatase with tensin homology,AF007118,NM_199261
TPTE2,transmembrane phosphoinositide 3-phosphatase and tensin homolog 2,AJ421032,NM_199254
TPX2,TPX2 microtubule nucleation factor,AF098158
TRA,T cell receptor alpha locus,,NG_001332
TRA2A,transformer 2 alpha homolog,U53209,NM_013293
TRA2B,transformer 2 beta homolog,AF057159,NM_004593
TRABD,TraB domain containing,AL449244,NM_025204
TRABD2A,TraB domain containing 2A,BC049209,NM_001080824
TRABD2B,TraB domain containing 2B,,NM_001194986
TRADD,TNFRSF1A associated via death domain,L41690
TRAF1,TNF receptor associated factor 1,AK090468,NM_005658
TRAF2,TNF receptor associated factor 2,U12597,NM_021138
TRAF3,TNF receptor associated factor 3,U21092,NM_145725
TRAF3IP1,TRAF3 interacting protein 1,AF230877,NM_015650
TRAF3IP2,TRAF3 interacting protein 2,AF136405
TRAF3IP3,TRAF3 interacting protein 3
TRAF4,TNF receptor associated factor 4,X80200,NM_145751
TRAF5,TNF receptor associated factor 5,AB000509,NM_004619
TRAF6,TNF receptor associated factor 6,,NM_145803
TRAF7,TNF receptor associated factor 7,AL136921,NM_032271
TRAFD1,TRAF-type zinc finger domain containing 1,AB007447,NM_006700
TRAIP,TRAF interacting protein,BC019283,NM_005879
TRAK1,trafficking kinesin protein 1,,NM_014965
TRAK2,trafficking kinesin protein 2,AB038951,NM_015049
TRAM1,translocation associated membrane protein 1,X63679,NM_014294
TRAM1L1,translocation associated membrane protein 1 like 1,AK074617,NM_152402
TRAM2,translocation associated membrane protein 2,D31762,NM_012288
TRANK1,tetratricopeptide repeat and ankyrin repeat containing 1,AK096678,NM_014831
TRAP1,TNF receptor associated protein 1,AF154108,NM_016292
TRAPPC1,trafficking protein particle complex subunit 1,AF129332,NM_021210
TRAPPC2,trafficking protein particle complex subunit 2,AF157061,NM_014563
TRAPPC2B,trafficking protein particle complex subunit 2B,,NM_001355204
TRAPPC2L,trafficking protein particle complex subunit 2L,BC011369,NM_016209
TRAPPC3,trafficking protein particle complex subunit 3,AF041432,NM_014408
TRAPPC3L,trafficking protein particle complex subunit 3L,AK002042,NM_001139444
TRAPPC4,trafficking protein particle complex subunit 4,AF078862,NM_016146
TRAPPC5,trafficking protein particle complex subunit 5,BC042161,NM_174894
TRAPPC6A,trafficking protein particle complex subunit 6A,AF161407,NM_024108
TRAPPC6B,trafficking protein particle complex subunit 6B,AK025437,NM_177452
TRAPPC8,trafficking protein particle complex subunit 8,AB023229,NM_014939
TRAPPC9,trafficking protein particle complex subunit 9,BC006206,NM_031466
TRAPPC10,trafficking protein particle complex subunit 10,U19252,NM_003274
TRAPPC11,trafficking protein particle complex subunit 11,,NM_021942
TRAPPC12,trafficking protein particle complex subunit 12,BC017475,NM_016030
TRAPPC13,trafficking protein particle complex subunit 13,,NM_024941
TRAPPC14,trafficking protein particle complex subunit 14,,NM_018275
TRARG1,trafficking regulator of GLUT4 (SLC2A4) 1,AB090231,NM_172367
TRAT1,T cell receptor associated transmembrane adaptor 1,AJ240084,NM_016388
TRB,T cell receptor beta locus,U66059,NG_001333
TRD,T cell receptor delta locus,M21624,NG_001332
TRDMT1,tRNA aspartic acid methyltransferase 1,AJ223333,NM_004412
TRDN,triadin,U18985
TREH,trehalase,AB000824,NM_007180
TREM1,triggering receptor expressed on myeloid cells 1,AF196329,NM_018643
TREM2,triggering receptor expressed on myeloid cells 2,AF213457,NM_018965
TREML1,triggering receptor expressed on myeloid cells like 1,AF534822,NM_178174
TREML2,triggering receptor expressed on myeloid cells like 2,AK023755,NM_024807
TREML4,triggering receptor expressed on myeloid cells like 4,AF534826
TRERF1,transcriptional regulating factor 1,AF297872,NM_033502
TREX1,three prime repair exonuclease 1,AF151105,NM_033629
TREX2,three prime repair exonuclease 2,AF151107,NM_080701
TRG,T cell receptor gamma locus,,NG_001336
TRH,thyrotropin releasing hormone,,NM_007117
TRHDE,thyrotropin releasing hormone degrading enzyme,AF126372,NM_013381
TRHR,thyrotropin releasing hormone receptor
TRIAP1,TP53 regulated inhibitor of apoptosis 1,,NM_016399
TRIB1,tribbles pseudokinase 1,AF205437,NM_025195
TRIB2,tribbles pseudokinase 2,AY245544,NM_021643
TRIB3,tribbles pseudokinase 3,AF250311,NM_021158
TRIL,TLR4 interactor with leucine rich repeats,,NM_014817
TRIM2,tripartite motif containing 2,AF220018
TRIM3,tripartite motif containing 3,AF045239,NM_006458
TRIM4,tripartite motif containing 4,AF220023,NM_033017
TRIM5,tripartite motif containing 5,AF220025,NM_033034
TRIM6,tripartite motif containing 6,AF220030,NM_001003818
TRIM7,tripartite motif containing 7,AF220032,NM_203296
TRIM8,tripartite motif containing 8,AF281046,NM_030912
TRIM9,tripartite motif containing 9,AF220036,NM_015163
TRIM10,tripartite motif containing 10,Y07829
TRIM11,tripartite motif containing 11,AF220125,NM_145214
TRIM13,tripartite motif containing 13,AF220127,NM_001007278
TRIM14,tripartite motif containing 14,AF220130,NM_014788
TRIM15,tripartite motif containing 15,"AF220132, U34249",NM_033229
TRIM16,tripartite motif containing 16,AF096870,NM_006470
TRIM17,tripartite motif containing 17,AF156271,NM_016102
TRIM21,tripartite motif containing 21,AF391283,NM_003141
TRIM22,tripartite motif containing 22,X82200,NM_006074
TRIM23,tripartite motif containing 23,L04510,NM_001656
TRIM24,tripartite motif containing 24,AF009353,NM_015905
TRIM25,tripartite motif containing 25,D21205,NM_005082
TRIM26,tripartite motif containing 26,AB088090,NM_003449
TRIM27,tripartite motif containing 27,Z58939,NM_030950
TRIM28,tripartite motif containing 28,,NM_005762
TRIM29,tripartite motif containing 29,AF230388,NM_012101
TRIM31,tripartite motif containing 31,AF230386
TRIM32,tripartite motif containing 32,U18543,NM_012210
TRIM33,tripartite motif containing 33,AF220136,NM_015906
TRIM34,tripartite motif containing 34,AB039902,NM_001003827
TRIM35,tripartite motif containing 35,AB029021,NM_171982
TRIM36,tripartite motif containing 36,AJ272269,NM_018700
TRIM37,tripartite motif containing 37,AB020705,NM_015294
TRIM38,tripartite motif containing 38,U90547
TRIM39,tripartite motif containing 39,BC034985,NM_172016
TRIM40,tripartite motif containing 40,AF489517
TRIM41,tripartite motif containing 41,AF258579,NM_201627
TRIM42,tripartite motif containing 42,AF521868,NM_152616
TRIM43,tripartite motif containing 43,BK000505,NM_138800
TRIM43B,tripartite motif containing 43B
TRIM44,tripartite motif containing 44,BC024031,NM_017583
TRIM45,tripartite motif containing 45,,NM_025188
TRIM46,tripartite motif containing 46,,NM_025058
TRIM47,tripartite motif containing 47,AY026763
TRIM48,tripartite motif containing 48,AF521869
TRIM49,tripartite motif containing 49,AB037682,NM_020358
TRIM49B,tripartite motif containing 49B
TRIM49C,tripartite motif containing 49C,BC126470,NM_001195234
TRIM49D1,tripartite motif containing 49D1,,NM_001206627
TRIM49D2,tripartite motif containing 49D2,,NM_001105522
TRIM50,tripartite motif containing 50,AY081948,NM_178125
TRIM51,tripartite motif-containing 51,BC005014,NM_032681
TRIM51G,tripartite motif-containing 51G,,NM_001396075
TRIM52,tripartite motif containing 52,,NM_032765
TRIM54,tripartite motif containing 54,AJ291714,NM_187841
TRIM55,tripartite motif containing 55,AJ291712,NM_184085
TRIM56,tripartite motif containing 56,BK000511,NM_030961
TRIM57,"symbol withdrawn, see [HGNC:30834](/data/gene-symbol-report/#!/hgnc_id/HGNC:30834)"
TRIM58,tripartite motif containing 58,AF327057,NM_015431
TRIM59,tripartite motif containing 59,AY159379,NM_173084
TRIM60,tripartite motif containing 60,AK093201,NM_152620
